user_id,book_id,rating
8,2584,5
4,87,5
4,495,4
9,344,4
9,372,4
9,943,5
9,317,4
9,81,1
9,238,3
11,495,3
11,574,3
15,87,5
15,344,4
18,2584,4
18,1102,2
18,344,4
18,372,3
18,943,4
4,221,4
18,8329,4
24,1031,5
24,7770,4
24,2320,3
32,238,4
32,344,4
32,236,4
32,114,4
32,574,4
32,179,4
40,690,4
40,179,5
40,3123,3
40,495,4
40,344,4
40,659,3
31,994,4
31,1656,4
31,5658,4
31,372,4
54,81,5
54,199,5
73,3761,4
73,4707,4
59,6921,4
75,372,4
76,87,3
76,828,5
76,2451,4
38,1031,4
83,1234,4
85,495,4
85,372,4
54,87,5
54,383,2
78,828,3
89,574,3
4,81,5
58,6921,4
83,916,4
94,6921,4
89,7103,3
66,828,3
45,6921,3
15,943,5
105,878,4
80,8355,3
112,372,5
108,659,4
108,690,4
108,372,3
86,6921,5
90,372,4
116,4197,4
125,5794,5
125,179,4
125,2252,3
126,495,5
126,1333,4
126,1102,4
126,238,4
126,372,4
128,40,3
128,3561,2
124,956,5
124,7103,2
24,15,4
24,372,4
124,15,3
142,916,4
142,943,4
142,372,3
142,344,4
142,495,4
130,495,5
130,238,5
130,1856,5
130,1102,5
125,916,3
78,6011,2
115,87,5
36,828,4
36,2451,3
22,7630,5
136,2584,3
136,7227,5
167,87,5
167,317,3
173,114,5
173,383,2
169,238,3
174,737,4
167,4994,4
174,81,4
174,199,4
115,317,3
115,1691,3
177,1031,4
169,179,4
177,7239,4
177,372,4
175,1370,5
175,1102,3
175,238,4
180,1844,3
112,574,4
112,82,3
112,238,4
125,1691,4
171,236,3
177,9439,3
177,238,4
185,943,4
185,344,5
185,495,4
185,236,4
171,1691,3
183,495,4
184,383,5
184,2229,4
184,604,4
183,344,4
183,372,4
183,895,3
171,4399,2
171,366,4
112,495,4
112,344,4
112,895,4
195,114,3
195,238,3
197,1031,2
199,81,5
179,9102,3
179,344,4
179,372,3
179,87,4
10,495,3
10,87,5
10,15,5
10,199,4
179,15,5
179,238,4
184,114,4
15,6644,5
